priority,address_id,territory,street,house_number,destination_lat,destination_lon,router_distance_km,router_duration_min,snap_distance_m,detour_factor,coverage_level,best_control_id,anomaly_reasons,expected_information_gain,recommended_manual_action,owner_review_required
HIGH,n2457622754,Парканы,улица Шевченко,65,46.83682,29.51919,3.9810,5.507,9.22,1.285,WEAK_COVERAGE,MY-023,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2457622756,Парканы,улица Шевченко,67,46.837,29.51989,4.0381,5.643,11.94,1.280,WEAK_COVERAGE,MY-033,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2457622758,Парканы,улица Шевченко,71,46.83707,29.52025,4.0666,5.712,10.66,1.278,WEAK_COVERAGE,MY-033,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2457626555,Парканы,улица Суворова,4,46.83846,29.52359,4.7068,5.760,14.23,1.353,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457631779,Парканы,улица Чапаева,3,46.83894,29.52468,4.8504,6.343,21.48,1.356,PARTIAL_COVERAGE,MY-034,PARTIAL_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2457631780,Парканы,улица Чапаева,5,46.83914,29.52461,4.8733,6.398,21.18,1.360,PARTIAL_COVERAGE,MY-034,PARTIAL_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457739759,Парканы,улица Чехова,68,46.84444,29.51166,4.5695,5.280,4.44,1.450,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457739765,Парканы,улица Сергея Лазо,56,46.84335,29.51227,4.4401,5.160,5.09,1.433,PARTIAL_COVERAGE,MY-033,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457739768,Парканы,улица Сергея Лазо,50,46.84294,29.51249,4.3916,5.115,5.81,1.426,PARTIAL_COVERAGE,MY-033,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457746139,Парканы,улица Гоголя,8,46.83876,29.5145,3.9024,4.662,3.97,1.344,WEAK_COVERAGE,MY-033,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2457786462,Парканы,улица Гоголя,5,46.8391,29.51412,3.9471,4.703,12.16,1.360,WEAK_COVERAGE,MY-033,SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2457786484,Парканы,улица Чехова,51,46.84332,29.51199,4.4440,5.163,16.17,1.442,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457822037,Парканы,улица Кирова,67,46.8457,29.51019,4.7478,5.443,9.63,1.492,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457838401,Парканы,улица Кирова,106,46.8475,29.50878,4.9744,5.653,10.08,1.520,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457838402,Парканы,улица Кирова,104,46.84732,29.50896,4.9499,5.630,10.70,1.516,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457838408,Парканы,улица Кирова,92,46.84639,29.50987,4.8253,5.515,12.34,1.496,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457838418,Парканы,улица Чехова,78,46.84548,29.51072,4.7050,5.405,10.38,1.475,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457838421,Парканы,улица Кирова,80,46.84571,29.51055,4.7335,5.430,13.84,1.479,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2457838422,Парканы,улица Кирова,112,46.84809,29.50834,5.0471,5.718,17.49,1.527,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457838426,Парканы,улица Кирова,112в,46.84895,29.50748,5.1639,5.827,14.50,1.543,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2457974022,Парканы,улица Кирова,132,46.85022,29.50655,5.3236,5.973,12.46,1.553,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2457974043,Парканы,улица Кирова,148,46.85211,29.50552,5.5493,6.182,19.72,1.554,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2457979557,Парканы,улица Кирова,158,46.85264,29.50515,5.6150,6.243,11.73,1.555,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2457979558,Парканы,улица Кирова,160,46.85282,29.50509,5.6355,6.262,12.85,1.554,WEAK_COVERAGE,MY-027,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2457979559,Парканы,улица Петра Николаева,162,46.85301,29.50499,5.6579,6.283,11.34,1.554,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2457994852,Парканы,улица Петра Николаева,103а,46.84922,29.5068,5.2150,5.873,16.84,1.560,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2457994912,Парканы,улица Петра Николаева,133а,46.85209,29.50505,5.5591,6.190,14.78,1.565,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2457994932,Парканы,улица Петра Николаева,125а,46.85128,29.50547,5.4641,6.103,16.39,1.566,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458002340,Парканы,улица Петра Николаева,163,46.85535,29.50419,5.9250,6.528,16.52,1.540,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458005816,Парканы,улица Петра Николаева,185,46.85749,29.50378,6.1652,6.750,23.99,1.521,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2458005820,Парканы,улица Петра Николаева,187,46.85774,29.50376,6.1935,6.775,22.58,1.518,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2458103825,Парканы,улица Петра Николаева,233,46.86212,29.50293,6.6853,7.232,13.99,1.482,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458108751,Парканы,улица Петра Николаева,226,46.8597,29.50376,6.4095,6.975,6.48,1.497,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458108791,Парканы,улица Петра Николаева,208,46.85764,29.50422,6.1784,6.762,11.11,1.513,PARTIAL_COVERAGE,MY-027,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458209279,Парканы,улица Мичурина,123,46.85527,29.50664,6.0378,7.362,20.44,1.540,WEAK_COVERAGE,MY-031,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458317670,Парканы,улица Мичурина,72,46.852,29.50867,5.6425,7.115,12.20,1.533,WEAK_COVERAGE,MY-027,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458317682,Парканы,улица Мичурина,77,46.85176,29.5084,5.6287,7.082,18.59,1.543,WEAK_COVERAGE,MY-027,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458317691,Парканы,улица Мичурина,69,46.85121,29.50888,5.5576,6.910,15.31,1.537,WEAK_COVERAGE,MY-027,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458350592,Парканы,улица Мичурина,57,46.8501,29.50979,5.4165,6.570,16.39,1.525,WEAK_COVERAGE,MY-027,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458439679,Парканы,улица Димитрова,42,46.84206,29.50816,3.9845,5.543,20.02,1.435,WEAK_COVERAGE,MY-033,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458439680,Парканы,улица Димитрова,40,46.84189,29.50815,3.9661,5.498,16.23,1.436,WEAK_COVERAGE,MY-033,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458462457,Парканы,улица Благоева,58,46.84222,29.5106,4.1976,6.093,7.01,1.438,WEAK_COVERAGE,MY-033,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458462471,Парканы,улица Благоева,48,46.8412,29.5112,4.0759,5.802,4.51,1.417,WEAK_COVERAGE,MY-033,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458462478,Парканы,улица Благоева,38,46.8404,29.5117,3.9801,5.570,13.55,1.399,WEAK_COVERAGE,MY-033,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458462484,Парканы,улица Благоева,36,46.84023,29.51176,3.9607,5.523,12.76,1.396,WEAK_COVERAGE,MY-033,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458493008,Парканы,улица Энгельса,66,46.84469,29.51578,4.8225,6.628,8.26,1.421,WEAK_COVERAGE,MY-033,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458498626,Парканы,улица Энгельса,38,46.84249,29.51747,4.5504,5.977,50.64,1.365,STRONG_COVERAGE,MY-033,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458498650,Парканы,улица Энгельса,3,46.83955,29.51809,4.2251,5.195,7.62,1.329,STRONG_COVERAGE,MY-033,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458660233,Парканы,улица Чехова,95,46.84722,29.517,5.1259,6.590,13.34,1.402,STRONG_COVERAGE,MY-029,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458675464,Парканы,улица Карла Маркса,156,46.84916,29.51597,5.7129,6.815,12.69,1.519,WEAK_COVERAGE,MY-029,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458675466,Парканы,улица Карла Маркса,152,46.84879,29.51627,5.4415,6.833,16.03,1.453,WEAK_COVERAGE,MY-029,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458675467,Парканы,улица Карла Маркса,150,46.84864,29.5164,5.4221,6.803,17.05,1.450,WEAK_COVERAGE,MY-029,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458684404,Парканы,улица Карла Маркса,168,46.85034,29.51578,5.6390,6.700,4.81,1.465,WEAK_COVERAGE,MY-029,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458684405,Парканы,улица Карла Маркса,174,46.85061,29.51529,5.6473,6.730,9.79,1.467,WEAK_COVERAGE,MY-029,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458684411,Парканы,улица Карла Маркса,121,46.8502,29.51495,5.5746,6.565,17.84,1.468,WEAK_COVERAGE,MY-029,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458684415,Парканы,улица Карла Маркса,131,46.8509,29.51478,5.6849,6.787,23.97,1.477,WEAK_COVERAGE,MY-029,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2458684418,Парканы,улица Карла Маркса,184,46.85142,29.51513,5.7382,6.867,10.94,1.467,WEAK_COVERAGE,MY-029,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458850730,Парканы,улица Суворова,57,46.84336,29.52154,5.2728,7.120,11.93,1.450,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2458915136,Парканы,улица Суворова,89,46.84612,29.52103,5.6063,7.982,15.95,1.476,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2458959243,Парканы,улица Суворова,105,46.84773,29.52059,5.7883,8.420,14.07,1.487,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458959253,Парканы,улица Суворова,120,46.84804,29.52084,6.3314,8.410,11.29,1.611,WEAK_COVERAGE,MY-029,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2458959263,Парканы,улица Суворова,129,46.84993,29.51996,6.1122,7.883,13.77,1.517,WEAK_COVERAGE,MY-029,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459008245,Парканы,улица Суворова,174,46.85123,29.5201,5.9822,7.523,16.45,1.444,WEAK_COVERAGE,MY-029,STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2459008246,Парканы,улица Суворова,172,46.8511,29.52008,5.9864,7.582,20.52,1.449,WEAK_COVERAGE,MY-029,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2459008256,Парканы,улица Суворова,147,46.85171,29.51945,6.0085,7.658,13.62,1.448,WEAK_COVERAGE,MY-029,ROUTE_STREET_LOOP;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459013792,Парканы,улица Суворова,195,46.85319,29.51907,6.1752,8.060,15.80,1.452,WEAK_COVERAGE,MY-029,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459051286,Парканы,улица Чапаева,15,46.8403,29.52433,5.0114,6.565,17.90,1.382,STRONG_COVERAGE,MY-034,ROUTE_STREET_LOOP;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
CRITICAL,n2459051322,Парканы,улица Чапаева,37,46.84179,29.52393,5.1801,6.970,19.50,1.405,STRONG_COVERAGE,MY-034,ADDRESS_ANCHOR_DISAGREEMENT;ROUTE_STREET_LOOP,tests an unresolved failure or unique network branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2459051339,Парканы,улица Чапаева,47,46.84272,29.52364,5.2858,7.223,21.76,1.419,STRONG_COVERAGE,MY-034,ROUTE_STREET_LOOP;STRONG_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2459051363,Парканы,улица Чапаева,32,46.84551,29.52333,5.5950,7.967,12.18,1.438,STRONG_COVERAGE,MY-034,ROUTE_STREET_LOOP;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459147572,Парканы,улица Чапаева,92,46.85003,29.52227,6.3136,8.375,15.74,1.517,PARTIAL_COVERAGE,MY-034,PARTIAL_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2459147587,Парканы,улица Чапаева,131а,46.84855,29.52224,6.4758,8.763,12.35,1.600,PARTIAL_COVERAGE,MY-034,PARTIAL_COVERAGE;STREET_DISTANCE_CONTINUITY_OUTLIER,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459147588,Парканы,улица Чапаева,133,46.84866,29.52223,6.4635,8.735,11.21,1.594,PARTIAL_COVERAGE,MY-034,PARTIAL_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459147611,Парканы,улица Чапаева,177,46.85137,29.52161,6.1586,8.003,10.58,1.455,PARTIAL_COVERAGE,MY-034,PARTIAL_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459265211,Парканы,улица Чапаева,237,46.85514,29.52081,6.4937,8.815,8.47,1.441,PARTIAL_COVERAGE,MY-034,PARTIAL_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459265229,Парканы,Молодёжная улица,3,46.84468,29.52482,5.5965,8.080,12.67,1.426,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2459265264,Парканы,Молодёжная улица,24,46.84651,29.52466,5.7993,8.567,8.12,1.436,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459265273,Парканы,Молодёжная улица,42,46.8484,29.52421,6.0123,9.078,7.18,1.450,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459281647,Парканы,Степная улица,4,46.84481,29.52593,5.6316,8.103,12.22,1.407,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459281662,Парканы,Степная улица,14,46.84564,29.5258,5.7242,8.327,17.88,1.414,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2459281695,Парканы,Степная улица,32,46.84702,29.52551,5.8803,8.700,15.73,1.426,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459281732,Парканы,Степная улица,60,46.84892,29.5251,6.0927,9.210,18.99,1.438,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2459281735,Парканы,Степная улица,58,46.84879,29.52511,6.0783,9.177,17.20,1.438,WEAK_COVERAGE,MY-034,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459281738,Парканы,Степная улица,62,46.84906,29.52506,6.6809,9.242,18.76,1.574,WEAK_COVERAGE,MY-027,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459417127,Парканы,улица Пушкина,6,46.83503,29.51265,3.3684,4.013,24.15,1.313,STRONG_COVERAGE,MY-028,SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2459417132,Парканы,улица Пушкина,8,46.83506,29.51291,3.3885,4.043,24.71,1.311,STRONG_COVERAGE,MY-028,SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2459417136,Парканы,улица Шевченко,10,46.83509,29.51318,3.4094,4.075,25.39,1.309,STRONG_COVERAGE,MY-023,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459417142,Парканы,улица Шевченко,12,46.83513,29.51345,3.4304,4.107,25.05,1.307,PARTIAL_COVERAGE,MY-028,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2459417147,Парканы,улица Шевченко,14,46.83515,29.5137,3.4496,4.135,26.53,1.306,PARTIAL_COVERAGE,MY-028,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2459417175,Парканы,улица Ворошилова,1,46.83555,29.51941,3.8917,4.795,5.56,1.276,WEAK_COVERAGE,MY-022,SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
